,AES mean,AES std,MBF mean,MBF std,SR
Problema 1,,,141.529039231,50.8592226663,0.0
Problema 2,,,1.1485909,0.450610454845,0.0
Problema 3,,,4.97471504235,1.58790181409,0.0
Problema 4,,,40.5119026145,14.2924643846,0.0
Problema 5,,,3.83146105194,0.0,0.0
Problema 6,,,1.85784799156,1.27753237758,0.0
Problema 7,,,5.57062101259,8.881784197e-16,0.0
