,AES mean,AES std,MBF mean,MBF std,SR
Problema 1,,,138.315004727,53.7510848967,0.0
Problema 2,,,0.448503161549,0.171878593258,0.0
Problema 3,,,,,0.0
Problema 4,,,27.2605495434,9.79882121584,0.0
Problema 5,,,4.49890374048,0.00908402595952,0.0
Problema 6,10300.0,0.0,2.54533035574,3.22754551864,0.25
Problema 7,,,5.21035065305,1.1326525972,0.0
